Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Expeditionary Force. Tom 6. Mavericks,Craig Alanson,Wojciech Masiak,4.8,295.0,4.9,294.0,17.15,Sci-fi,Audiobook,Polski,2023-06-14,Tom 6 - Expeditionary Force,M,sci-fi
Tatuażysta z Auschwitz,Heather Morris,Filip Kosior,4.6,3346.0,4.9,2935.0,6.62,"Powieści, Powieści historyczne, Literatura wojenna",Audiobook,Polski,2018-04-18,Tom 1 - Tatuażysta z Auschwitz,M,powieści
Obrazy z przeszłości,Remigiusz Mróz,Paweł Małaszyński,4.7,3111.0,4.4,2934.0,12.03,"Kryminały, Powieści kryminalne",Audiobook,Polski,2022-05-18,Tom 4 - Seweryn Zaorski,M,kryminały
Rewizja,Remigiusz Mróz,Krzysztof Gosztyła,4.7,2958.0,4.9,2930.0,16.65,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-03-25,Tom 3 - Joanna Chyłka,M,kryminały
Skrucha,Marek Stelar,Adam Bauman,4.7,316.0,4.7,293.0,12.37,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-06-28,Nie dotyczy,M,kryminały
Niewiadoma,Marek Stelar,Mateusz Drozda,4.7,296.0,4.8,293.0,11.12,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-04-19,Nie dotyczy,M,kryminały
Omamił cię sen,Anna Jansson,Anna Dereszowska,4.5,313.0,4.6,293.0,11.72,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-09-13,Tom 1 - Maria Wern,F,kryminały
Luizę pilnie sprzedam,Danuta Noszczyńska,Ewa Abart,4.4,294.0,4.8,293.0,7.87,Powieści,Audiobook,Polski,2021-06-08,Tom 2 - Lekko i z humorem,F,powieści
Cień burzowych chmur,Edyta Świętek,Elżbieta Kijowska,4.6,312.0,4.7,293.0,9.1,"Powieści, Powieści współczesne",Audiobook,Polski,2024-04-15,Tom 1 - Spacer Aleją Róż,F,powieści
Dziewczyna od trawnika,Dorota Pasek,Joanna Domańska,4.5,299.0,4.7,292.0,10.3,Powieści,Audiobook,Polski,2020-04-07,Nie dotyczy,F,powieści
Skazaniec tom I,Krzysztof Spadło,Leszek Wojtaszak,4.8,304.0,4.8,292.0,16.37,"Powieści, Powieści historyczne, Kryminały, Powieści kryminalne",Audiobook,Polski,2024-07-29,Tom 1 - Skazaniec,M,powieści
Łabędź,Sylwia Trojanowska,Joanna Gajór,4.7,294.0,4.7,292.0,12.33,"Romans, Romans historyczny",Audiobook,Polski,2022-01-26,Nie dotyczy,F,romans
Płoń dla mnie,Ilona Andrews,Aneta Todorczuk-Perchuć,4.4,327.0,4.4,291.0,11.63,Fantastyka,Audiobook,Polski,2022-04-26,Ukryte Dziedzictwo,F,fantastyka
Szafarz,Grzegorz Brudnik,Mariusz Bonaszewski,4.7,313.0,4.8,291.0,17.98,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-03-27,Nie dotyczy,M,kryminały
Przypadek Charlesa Dextera Warda,H. P. Lovecraft,Joanna Domańska,4.3,312.0,4.2,291.0,6.27,"Kryminały, Thrillery, Fantastyka, Horrory",Audiobook,Polski,2022-10-06,Nie dotyczy,F,kryminały
Trawers,Remigiusz Mróz,Krzysztof Gosztyła,4.8,3056.0,4.9,2901.0,16.82,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-06-23,Tom 3 - Komisarz Forst,M,kryminały
Zabójcze opowieści 3: Fetyszysta,Michał Larek,Wojciech Masacz,4.7,293.0,4.8,290.0,1.82,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-05-06,Tom 3 - Zabójcze opowieści,M,kryminały
Sami swoi,Andrzej Mularczyk,Leszek Filipowicz,4.9,300.0,4.9,290.0,8.43,"Powieści, Rozrywka i humor, Powieści humorystyczne",Audiobook,Polski,2021-05-31,Tom 1 - Sami swoi,M,powieści
Afery i skandale Drugiej Rzeczypospolitej,Sławomir Koper,Tomasz Knapik,4.4,29.0,4.6,29.0,12.92,Biografie,Audiobook,Polski,2016-06-02,Nie dotyczy,M,biografie
"Kobiety ze słynnych polskich obrazów. Boskie, natchnione, przeklęte",Iwona Kienzler,Ewa Mateuszuk,4.4,29.0,4.2,29.0,9.87,"Biografie, Autobiografie",Audiobook,Polski,2021-03-09,Nie dotyczy,F,biografie
"Broniewski. Miłość, wódka, polityka",Mariusz Urbanek,Dominik Mironiuk,4.7,29.0,4.6,29.0,14.1,"Biografie, Biografie artystów",Audiobook,Polski,2023-06-14,Tom 3 - Pasjonujące biografie,M,biografie
Tołstoj. Życie wielkiego pisarza,Stanisław Marski,Aleksander Bromberek,4.1,32.0,4.6,29.0,1.33,"Biografie, Biografie artystów, Literatura faktu, Historia",Audiobook,Polski,2023-08-04,Tom 2 - Klasyczne historie,M,biografie
Wampirek. Tom 1,Angela Sommer-Bodenburg,Maciej Więckowski,4.7,31.0,4.8,29.0,3.43,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2023-03-15,Wampirek,M,dla dzieci
Emi i Tajny Klub Superdziewczyn,Agnieszka Mielech,Joanna Pach-Żbikowska,4.7,30.0,4.6,29.0,3.22,"Dla dzieci, Dla dzieci w wieku 6+, Książki przygodowe dla dzieci",Audiobook,Polski,2015-04-15,Nie dotyczy,F,dla dzieci
Witajcie w Wynalazkowie,Waldemar Cichoń,Anna Konieczna,4.7,29.0,4.6,29.0,5.58,"Dla dzieci, Dla dzieci w wieku 9+, Dla młodzieży, Dla młodzieży w wieku 12+",Audiobook,Polski,2023-02-09,Nie dotyczy,F,dla dzieci
Momo Ty łobuzie,Jacek Dubois,Mateusz Weber,5.0,28.0,5.0,29.0,4.32,"Dla dzieci, Dla dzieci w wieku 9+, Książki przygodowe dla dzieci",Audiobook,Polski,2024-08-06,Nie dotyczy,M,dla dzieci
Grillbar Galaktyka,Maja Lidia Kossakowska,Maciej Kowalik,4.5,31.0,4.6,29.0,13.25,Fantastyka,Audiobook,Polski,2021-04-01,Nie dotyczy,M,fantastyka
Nie bój się nocy,Anna Kłodzińska,Michał Ziomek,4.3,30.0,4.6,29.0,6.88,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2023-04-26,Tom 65 - Kryminał z myszką,M,kryminały
Ukryte blizny. Cykl z detektyw Lottie Parker,Patricia Gibney,Marcin Popczyński,4.6,32.0,4.7,29.0,10.88,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-06-25,Tom 2 - Lottie Parker,M,kryminały
Sherlock Holmes. Dolina trwogi,Arthur Conan Doyle,Wojciech Masiak,4.8,29.0,4.9,29.0,6.0,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2024-09-04,Tom 4 - Sherlock Holmes,M,kryminały
Zabójczy spektakl,Ewa Agnieszka Frankowska,Maciej Kowalik,4.3,31.0,4.8,29.0,4.87,"Kryminały, Powieści kryminalne, Powieści detektywistyczne",Audiobook,Polski,2023-11-13,Tom 2 - Komisarz Feliks Frączak,M,kryminały
Wszyscy jesteśmy martwi. Część druga,Sara Önnebo,Bartosz Głogowski,4.0,32.0,4.2,29.0,3.47,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2024-12-09,Tom 2 - Krwawe Święta,M,kryminały
Zakręt samobójców,G.R. Tarnawa,Stanisław Biczysko,4.0,31.0,4.4,29.0,4.8,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-07-12,Tom 9 - Najciekawsze kryminały PRL,M,kryminały
Lista sześciu,Wojciech Kulawski,Krzysztof Plewako-Szczerbinski,4.0,30.0,3.9,29.0,6.4,"Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2020-07-22,Tom 1 - Prokurator Marian Suski,M,kryminały
Prawo,Frédéric Bastiat,Tomasz Kućma,4.8,30.0,4.9,29.0,2.43,"Literatura faktu, Ekonomia i biznes",Audiobook,Polski,2022-05-25,Tom 3 - Krytyka socjalizmu,M,literatura faktu
Wojna totalna,Erich Ludendorff,Andrzej Hausner,3.9,29.0,4.8,29.0,5.88,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2022-05-13,Nie dotyczy,M,literatura faktu
Psychomanipulacje. Jak je rozpoznawać i jak sobie z nimi radzić,Tomasz Witkowski,Maciej Jabłoński,4.3,29.0,4.6,29.0,8.92,"Literatura faktu, Psychologia",Audiobook,Polski,2024-02-08,Nie dotyczy,M,literatura faktu
Reichstag w płomieniach,Bronisław Woliński,Aleksander Bromberek,4.3,30.0,4.8,29.0,1.33,"Literatura faktu, Społeczeństwo i kultura, Polityka i wojna, Historia",Audiobook,Polski,2024-11-27,Nie dotyczy,M,literatura faktu
Biały szlak. Reportaże ze świata wojny kokainowej,Łukasz Czeszumski,Tomasz Ignaczak,4.6,30.0,4.7,29.0,13.22,"Literatura faktu, True Crime",Audiobook,Polski,2023-09-18,Nie dotyczy,M,literatura faktu
Ławeczka Księżnej Daisy,Gabriela Anna Kańtor,Karolina Kalina,4.1,30.0,4.3,29.0,4.55,Powieści,Audiobook,Polski,2021-05-20,Nie dotyczy,F,powieści
Jestem kotem,Natsume Sōseki,Filip Kosior,4.2,29.0,4.7,29.0,14.18,Powieści,Audiobook,Polski,2022-10-04,Nie dotyczy,M,powieści
Kamienica Schopenhauerów,Sakowicz Anna,Kijowska Elżbieta,4.4,28.0,4.6,29.0,11.58,"Powieści, Powieści historyczne, Romans",Audiobook,Polski,2024-04-18,Nie dotyczy,F,powieści
Krew wojowników 1 - Uciekinier,Łukasz Czeszumski,Paweł Werpachowski,4.5,28.0,3.9,29.0,15.22,"Powieści, Powieści historyczne, Romans, Romans historyczny",Audiobook,Polski,2021-06-07,Tom 1 - Krew wojowników,M,powieści
Motylek,Jolanta Mausch,Barbara Liberek,4.5,28.0,4.7,29.0,8.23,"Powieści, Powieści współczesne, Romans",Audiobook,Polski,2023-05-15,Nie dotyczy,F,powieści
