Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Kolor nie z tej planety,H. P. Lovecraft,Robert Michalak,4.3,1080.0,4.6,997.0,1.38,"Fantastyka, Horrory, Sci-fi",Audiobook,Polski,2021-12-20,Nie dotyczy,M,fantastyka
Operacja Mir,Remigiusz Mróz,zespół lektorów,4.4,1045.0,4.7,997.0,10.75,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-01-24,Tom 2 - Projekt Riese,G,kryminały
Tron z czaszek. Księga 1,Peter V. Brett,Filip Kosior,4.7,1010.0,4.9,991.0,13.12,Fantastyka,Audiobook,Polski,2015-06-26,Tom 8 - Trylogia demonów,M,fantastyka
7 procent Ro Devereux,Ellen O'Clover,Katarzyna Domalewska,3.6,102.0,4.4,99.0,8.12,"Dla młodzieży, Dla młodzieży w wieku 14+",Audiobook,Polski,2024-01-24,Nie dotyczy,F,dla młodzieży
Tylko żywi mogą umrzeć,D. B. Foryś,Magdalena Zając – Zawadzka,4.1,137.0,4.4,99.0,11.65,Fantastyka,Audiobook,Polski,2019-12-13,Tom 1 - Tessa Brown,F,fantastyka
W gąszczu kłamstw,Kate Alice Marshall,Jagoda Małyszek,4.3,102.0,4.6,99.0,11.77,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-03-13,Nie dotyczy,F,kryminały
Labirynt von Brauna,Rafał Dębski,Marcin Popczyński,4.5,103.0,4.7,99.0,7.85,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-08-23,Tom 1 - Cykl o Komisarzu Wrońskim,M,kryminały
Kameleon,Marek Stelar,Mateusz Drozda,4.5,102.0,4.6,99.0,6.88,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-05-15,Nie dotyczy,M,kryminały
Sklepik przeciwzmarszczkowy,Eva Swedenmark,Masza Bogucka,3.8,111.0,4.4,99.0,4.05,Powieści,Audiobook,Polski,2022-02-18,"Tom 1 - Nikt nie ma wszystkiego, każdy ma coś",F,powieści
Syn zakonnicy,Joanna Jax,Elżbieta Kijowska,4.4,98.0,4.6,99.0,13.77,Powieści,Audiobook,Polski,2019-02-26,Nie dotyczy,F,powieści
Druga szansa,Kylie Scott,Anna Szymańczyk,4.3,103.0,4.3,99.0,7.52,Romans,Audiobook,Polski,2022-03-30,Nie dotyczy,F,romans
Piętno Midasa,Agnieszka Lingas-Łoniewska,Paweł Paprocki,4.7,100.0,4.7,99.0,8.58,Romans,Audiobook,Polski,2022-10-25,Nie dotyczy,M,romans
"Nicolas. Bezlitosna siła, t. 6",Agnieszka Lingas-Łoniewska,Ewa Abart,4.7,105.0,4.8,99.0,5.73,Romans,Audiobook,Polski,2022-07-08,Tom 6 - Bezlitosna siła,F,romans
Hajmdal. Tom 2. Księżyce Monarchy,Dariusz Domagalski,Wojciech Masiak,4.6,100.0,4.9,99.0,10.03,Sci-fi,Audiobook,Polski,2019-09-03,Tom 2 - Hajmdal,M,sci-fi
Hajmdal. Tom 3. Bunt,Dariusz Domagalski,Wojciech Masiak,4.7,102.0,4.9,99.0,9.42,Sci-fi,Audiobook,Polski,2019-11-19,Tom 3 - Hajmdal,M,sci-fi
Stary człowiek i morze,Ernest Hemingway,Krzysztof Gosztyła,4.3,1005.0,4.8,988.0,3.47,Klasyka,Audiobook,Polski,2022-05-16,Nie dotyczy,M,klasyka
Weźmisz czarno kure...,Andrzej Pilipiuk,Grzegorz Pawlak,4.8,1000.0,4.9,980.0,9.42,brak,"Audiobook, E-book",,2011-04-21,Tom 3 - Kroniki Jakuba Wędrowycza,M,brak
Pięciopsiaczki,Wanda Chotomska,Wanda Chotomska,4.7,100.0,4.7,98.0,1.23,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2021-10-15,Nie dotyczy,F,dla dzieci
Tajemniczy ogród,Frances Hodgson Burnett,Robert Michalak,4.6,99.0,4.8,98.0,7.95,"Dla dzieci, Dla dzieci w wieku 9+, Klasyka dla dzieci, Bajki i baśnie, Książki o miłości i przyjaźni dla dzieci",Audiobook,Polski,2023-06-02,Nie dotyczy,M,dla dzieci
Wina,Max Czornyj,Leszek Filipowicz,4.2,106.0,4.3,98.0,6.82,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-07-12,Tom 4 - Liza Langer i Orest Rembert,M,kryminały
Śledztwo od kuchni,Karolina Morawiecka,Donata Cieślik,4.3,100.0,4.6,98.0,9.65,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2019-03-12,Tom 1 - Karolina Morawiecka (wdowa po aptekarzu),F,kryminały
Agathe,Anne Bomann,Dragun,3.7,108.0,4.5,98.0,2.97,Powieści,Audiobook,Polski,2022-10-12,Nie dotyczy,M,powieści
Talizman złotego smoka,Iwona Surmik,Aleksandra Justa,4.5,105.0,4.3,98.0,12.35,"Powieści, Fantastyka",Audiobook,Polski,2021-03-22,Nie dotyczy,F,powieści
Skradzione dziecko,Diney Costeloe,Masza Bogucka,4.5,99.0,4.6,98.0,8.68,"Powieści, Powieści historyczne",Audiobook,Polski,2022-08-24,Nie dotyczy,F,powieści
Śląski Kopciuszek,Gabriela Anna Kańtor,Andrzej Hausner,4.6,103.0,4.7,98.0,5.78,"Powieści, Powieści obyczajowe",Audiobook,Polski,2020-12-29,Tom 1 - Joanna Gryzik,M,powieści
Nad Niemnem,Eliza Orzeszkowa,Lena Schimscheiner,4.6,102.0,4.5,98.0,23.15,"Powieści, Powieści obyczajowe, Klasyka",Audiobook,Polski,2020-04-21,Nie dotyczy,F,powieści
Kilka godzin do szczęścia,Roma J. Fiszer,Paulina Holtz,4.4,101.0,4.7,98.0,15.05,"Powieści, Romans",Audiobook,Polski,2022-07-06,Tom 1 - Do szczęścia,F,powieści
Otchłań. Księga 1,Peter V. Brett,Filip Kosior,4.7,1011.0,4.9,978.0,18.02,Fantastyka,Audiobook,Polski,2018-01-31,Tom 10 - Trylogia demonów,M,fantastyka
Moja rodzina na piętrze,Magda Louis,Elżbieta Kijowska,4.6,1057.0,4.8,977.0,18.78,Powieści,Audiobook,Polski,2022-03-04,Tom 1 - Moja rodzina na piętrze,F,powieści
Sztuka czułości,"Joanna Podsadecka, Łukasz Chmielowski, Marcin Kobierski","Dorota Bochenek, Anna Kończal-Bochenek",4.8,101.0,4.7,97.0,4.08,"Biografie, Autobiografie",Audiobook,Polski,2023-07-27,Nie dotyczy,G,biografie
Elżbieta Tudor. Kobieta na tronie,Michał Gadziński,Filip Kosior,4.3,99.0,4.8,97.0,1.2,"Biografie, Biografie polityczne i społeczne, Biografie monarchów, Literatura faktu, Społeczeństwo i kultura, Historia",Audiobook,Polski,2024-10-24,Nie dotyczy,M,biografie
Księga Całości. Tom 5. Pani Dobrego Znaku. Wieczny pokój,Feliks W. Kres,Wojciech Żołądkowicz,4.6,101.0,4.9,97.0,12.37,Fantastyka,Audiobook,Polski,2021-12-09,Tom 5 - Księga Całości,M,fantastyka
"Kłamstwa, którymi oddycham",Katarzyna Misiołek,Agnieszka Baranowska,4.2,101.0,4.5,97.0,8.72,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-06-27,Nie dotyczy,F,kryminały
Nasza dziewczynka,Georgina Cross,Karolina Kostoń,4.4,123.0,4.4,97.0,9.72,"Kryminały, Thrillery",Audiobook,Polski,2022-09-28,Nie dotyczy,F,kryminały
Uwikłana,Alicja Sinicka,Anna Szawiel,4.3,102.0,4.5,97.0,8.98,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-11-27,Nie dotyczy,F,kryminały
Darwin. Niedoszły pastor,S. Szary,Filip Kosior,4.6,101.0,4.9,97.0,1.03,"Literatura faktu, Przyroda i nauka",Audiobook,Polski,2021-12-09,Tom 7 - #Osobowości,M,literatura faktu
Niemka,Wojciech Dutka,Joanna Domańska,4.7,98.0,4.7,97.0,10.93,Powieści,Audiobook,Polski,2024-05-22,Nie dotyczy,F,powieści
Dzwonnik z Notre Dame,Victor Hugo,Janusz Zadura,4.3,98.0,4.8,97.0,22.98,"Powieści, Kryminały",Audiobook,Polski,2023-03-29,Nie dotyczy,M,powieści
Efesto,Aga Kalicka,Jarosław Rodzaj,4.4,103.0,4.4,97.0,11.52,"Powieści, Powieści współczesne, Kryminały, Thrillery, Powieści kryminalne, Romans",Audiobook,Polski,2021-05-19,Tom 1 - Mano d'onore,M,powieści
Smak deszczu,Małgorzata Wachowicz,Monika Chrzanowska,4.2,116.0,4.3,97.0,6.27,Romans,Audiobook,Polski,2021-08-19,Nie dotyczy,F,romans
Zielona Gwiazdka,Krystyna Mirek,Kamilla Baar,4.3,98.0,4.5,97.0,7.25,Romans,Audiobook,Polski,2023-11-22,Nie dotyczy,F,romans
Szukaj mnie wśród lawendy. Zofia Tom II,Agnieszka Lingas-Łoniewska,Agnieszka Postrzygacz,4.7,99.0,4.8,97.0,4.58,Romans,Audiobook,Polski,2022-09-29,Tom 2 - Szukaj mnie wśród lawendy,F,romans
Grzeczna dziewczynka,Tomasz Wandzel,Kaja Walden,4.3,110.0,4.5,97.0,6.43,"Romans, Romans sensacyjny",Audiobook,Polski,2021-04-20,Nie dotyczy,F,romans
Jesteś dla mnie wszystkim,Beata Majewska,Milena Staszuk,4.4,98.0,4.5,97.0,9.22,"Romans, Romans sensacyjny",Audiobook,Polski,2021-08-10,Nie dotyczy,F,romans
MÓJ SZEF. MÓJ AS 2 i PÓŁ,MELISSA DARWOOD,Magda Karel,4.7,1209.0,4.9,969.0,8.4,"Romans, Gorący romans",Audiobook,Polski,2022-05-13,Tom 3 - MÓJ SZEF,F,romans
Mistrz i Małgorzata,Michaił Bułhakow,Filip Kosior,4.7,977.0,4.9,961.0,16.65,Klasyka,Audiobook,Polski,2023-08-14,Nie dotyczy,M,klasyka
Córka cieni. Tom 1. Siedem szmacianych dat.,Ewa Cielesz,Joanna Gajór,4.8,973.0,4.7,961.0,10.92,Powieści,Audiobook,Polski,2018-03-27,Tom 1 - Córka cieni,F,powieści
Czarna wołga,Przemysław Semczuk,Leszek Filipowicz,4.4,96.0,4.9,96.0,17.33,"Biografie, Autobiografie",Audiobook,Polski,2018-11-08,Nie dotyczy,M,biografie
"Tata 3D, czyli rodzinny triathlon z przeszkodami",Maciej Stuhr,Maciej Stuhr,4.6,97.0,4.9,96.0,5.8,"Biografie, Autobiografie",Audiobook,Polski,2023-06-26,Nie dotyczy,M,biografie
Matka,T.M. Logan,Marcin Popczyński,4.5,105.0,4.8,96.0,11.78,"Kryminały, Thrillery",Audiobook,Polski,2024-07-03,Nie dotyczy,M,kryminały
Kuglarz,Maja Opiłka,Sebastian Misiuk,4.4,100.0,4.7,96.0,10.6,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2024-06-10,Nie dotyczy,M,kryminały
Epilog,Joanna Jax,Elżbieta Kijowska,4.8,96.0,4.8,96.0,11.25,"Literatura faktu, Historia",Audiobook,Polski,2023-05-10,Nie dotyczy,F,literatura faktu
Takahiro Shiraishi. Morderca z Twittera,Galka,Bartosz Głogowski,4.2,106.0,4.7,96.0,1.3,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-06-29,Tom 2 - Azjatyccy seryjni mordercy,M,literatura faktu
Kobieta w słońcu,Dorota Milli,Kim Sayar,4.7,97.0,4.5,96.0,10.33,Powieści,Audiobook,Polski,2024-01-17,Tom 3 - Saga nadmorska,U,powieści
Mentor,Kafir,Maciej Więckowski,4.8,95.0,4.9,96.0,11.27,Powieści,Audiobook,Polski,2024-05-15,Nie dotyczy,M,powieści
"O kurze, która opuściła podwórze",Hwang Sun-mi,Julia Mika,4.3,100.0,4.6,96.0,3.52,"Powieści, Powieści współczesne",Audiobook,Polski,2024-04-19,Tom 5 - Kwiaty Orientu,F,powieści
Celebryta,M.B. Morgan,Aneta Todorczuk,4.4,93.0,4.2,96.0,10.52,Romans,Audiobook,Polski,2022-10-17,Nie dotyczy,F,romans
Szukaj mnie wśród lawendy. Gabriela Tom III,Agnieszka Lingas-Łoniewska,Agnieszka Postrzygacz,4.7,97.0,4.8,96.0,4.8,Romans,Audiobook,Polski,2022-09-29,Tom 3 - Szukaj mnie wśród lawendy,F,romans
Carnegie. Jak stać się bogatym. Rady miliardera dla młodych ludzi,Andrew Carnegie,Tomasz Kućma,4.1,103.0,4.8,96.0,1.53,"Rozwój osobisty, Literatura faktu, Społeczeństwo i kultura, Ekonomia i biznes",Audiobook,Polski,2022-09-07,Tom 6 - Poradniki do samodoskonalenia,M,rozwój osobisty
Perfumeria na rozstaju dróg,Witkiewicz Magdalena,Agnieszka Postrzygacz,4.7,1042.0,4.8,955.0,7.3,"Powieści, Powieści historyczne, Romans",Audiobook,Polski,2023-03-29,Nie dotyczy,F,powieści
Café Museum,Robert Makłowicz,Robert Makłowicz,4.7,952.0,4.9,951.0,4.73,"Literatura faktu, Podróże, Jedzenie i napoje",Audiobook,Polski,2023-07-21,Nie dotyczy,M,literatura faktu
Zanim wybuchnie słońce,Józefina Płotka,Bartosz Martyna,4.0,101.0,4.0,95.0,10.98,"Dla młodzieży, Dla młodzieży w wieku 14+",Audiobook,Polski,2024-01-24,Nie dotyczy,U,dla młodzieży
Czempion Semaela,Paweł Kopijer,Wojciech Masiak,4.6,94.0,4.8,95.0,7.05,Fantastyka,Audiobook,Polski,2024-06-10,Tom 2 - Trylogia Mitrys,M,fantastyka
Wiosenne wody,Ernest Hemingway,Mateusz Weber,3.4,93.0,4.4,95.0,2.95,Klasyka,Audiobook,Polski,2023-07-05,Nie dotyczy,M,klasyka
Zabawka,Robert Ziębiński,Agata Skórska,4.4,96.0,4.5,95.0,10.43,"Kryminały, Powieści kryminalne",Audiobook,Polski,2021-04-27,Nie dotyczy,F,kryminały
Siedem księżyców Maalego Almeidy,Shehan Karunatilaka,Krzysztof Polkowski,4.5,97.0,4.7,95.0,15.42,Powieści,Audiobook,Polski,2023-10-25,Nie dotyczy,M,powieści
Magiczne miejsce. Tom 1,Agnieszka Krawczyk,Mirella Rogoza-Biel,4.6,95.0,4.7,95.0,11.83,Powieści,Audiobook,Polski,2020-01-14,Tom 1 - Magiczne miejsce,F,powieści
Miłość w czasie zagłady,Dominik W. Rettinger,Tomasz Budyta,4.6,99.0,4.6,95.0,13.28,"Powieści, Biografie",Audiobook,Polski,2022-07-07,Nie dotyczy,M,powieści
Nić przeznaczenia,Anna Sakowicz,Agnieszka Postrzygacz,4.6,100.0,4.7,95.0,11.7,"Powieści, Powieści historyczne",Audiobook,Polski,2023-04-19,Nie dotyczy,F,powieści
Cicha noc,Jolanta Kosowska,Małgorzata Gradkowska i Nikodem Kasprowicz,4.1,100.0,4.2,95.0,5.97,"Powieści, Powieści obyczajowe",Audiobook,Polski,2023-11-29,Nie dotyczy,G,powieści
Sekret wyspy,Dorota Milli,Joanna Domańska,4.5,96.0,4.7,95.0,10.45,"Powieści, Powieści obyczajowe",Audiobook,Polski,2020-07-07,Nie dotyczy,F,powieści
Gdyby miało nie być jutra,Agnieszka Lingas-Łoniewska,Ewa Abart,4.5,97.0,4.7,95.0,6.17,"Powieści, Romans",Audiobook,Polski,2021-08-27,Nie dotyczy,F,powieści
Odnajdę cię,Agnieszka Olejnik,Joanna Domańska,4.8,98.0,4.8,95.0,10.45,Romans,Audiobook,Polski,2024-04-10,Nie dotyczy,F,romans
Wycena,Haner K.N.,Szymańczyk Anna,4.6,99.0,4.6,95.0,12.25,"Romans, Gorący romans",Audiobook,Polski,2024-02-10,Tom 1 - CASSIE,F,romans
Zmiana radykalna. Książeczka do autorefleksji zorientowanej na nieśmiertelność,Bartosz M. Wrona,Maciej Marcinkowski,4.4,98.0,4.8,95.0,3.4,Rozwój osobisty,Audiobook,Polski,2022-02-21,Tom 2 - Nadzwyczajna Zwyczajność,M,rozwój osobisty
Filozofia miłości płciowej,Arthur Schopenhauer,Filip Kosior,3.9,99.0,4.7,95.0,47.0,"Rozwój osobisty, Literatura faktu, Społeczeństwo i kultura, Religia i filozofia",Audiobook,Polski,2023-07-23,Tom 16 - Genialni myśliciele,M,rozwój osobisty
Inne tonacje ciszy,Remigiusz Mróz,Kasia Sienkiewicz,4.1,961.0,4.1,943.0,11.83,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2023-12-06,Tom 1 - Aspen i Joyce,F,kryminały
Dziewczyna w czarnej sukience. Historia zbrodni miłoszyckiej,Wilczyńska Ewa,Ryźlak Anna,4.8,947.0,4.8,942.0,11.15,"Literatura faktu, True Crime",Audiobook,Polski,2024-02-10,Nie dotyczy,F,literatura faktu
Hanussen. Prorok Hitlera,E. Stefański,Henryk Simon,4.3,99.0,4.3,94.0,1.6,"Biografie, Biografie polityczne i społeczne",Audiobook,Polski,2020-12-29,Tom 5 - #Osobowości,M,biografie
Nikola Tesla. Cudowny umysł. Część 1. Światło i energia,John Joseph O'Neill,Jarosław Łukomski,4.7,97.0,4.8,94.0,3.63,"Biografie, Biografie polityczne i społeczne, Literatura faktu, Społeczeństwo i kultura, Historia, Przyroda i nauka, Ekonomia i biznes",Audiobook,Polski,2024-01-02,Tom 2 - Wojny prądów,M,biografie
Kapelusz za sto tysięcy,Adam Bahdaj,Ewa Abart,4.7,97.0,4.7,94.0,5.75,"Dla dzieci, Dla dzieci w wieku 9+, Dla młodzieży, Dla młodzieży w wieku 12+",Audiobook,Polski,2021-12-17,Nie dotyczy,F,dla dzieci
Żmijątko,Monika Maciewicz,Dagny Mikoś,4.8,100.0,4.7,94.0,7.2,"Fantastyka, Fantastyka romantyczna, Nowele, poezja i dramat, Komiks i powieść graficzna",Audiobook,Polski,2023-11-08,Nie dotyczy,U,fantastyka
Głód,Marcin Majchrzak,Jakub Kamieński,4.0,94.0,4.5,94.0,6.1,"Fantastyka, Horrory",Audiobook,Polski,2022-11-23,Nie dotyczy,M,fantastyka
W ciemności nocy,Ewa Agnieszka Frankowska,Maciej Kowalik,4.2,99.0,4.6,94.0,4.58,"Kryminały, Powieści kryminalne",Audiobook,Polski,2022-06-27,Tom 1 - Komisarz Feliks Frączak,M,kryminały
Geneza zła,Max Czornyj,Robert Jarociński,4.5,109.0,4.8,94.0,6.38,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-10-25,Tom 12 - Komisarz Eryk Deryło,M,kryminały
Królowa śniegu,Anna Klejzerowicz,Katarzyna Tokarczyk,4.4,131.0,4.3,94.0,7.97,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2020-11-16,Tom 1 - Felicja Stefańska,F,kryminały
Niekochane,Hanna Dikta,Joanna Domańska,4.6,94.0,4.7,94.0,7.0,Powieści,Audiobook,Polski,2023-02-08,Nie dotyczy,F,powieści
"Zabójcy, wampirzyce, nierządnice. Zbrodnie i afery II RP",Iwona Kienzler,Krzysztof Plewako-Szczerbiński,4.5,97.0,4.7,94.0,6.85,"Powieści, Powieści historyczne",Audiobook,Polski,2021-02-09,Nie dotyczy,M,powieści
Bramy Kijowa,Grzegorz Kochman,Andrzej Hausner,4.5,96.0,4.7,94.0,13.18,"Powieści, Powieści historyczne",Audiobook,Polski,2022-09-18,Tom 2 - Trylogia Piastowska,M,powieści
Na końcu czeka miłość,Agnieszka Lewandowska-Kąkol,Mateusz Drozda,4.3,95.0,4.4,94.0,7.02,"Powieści, Powieści historyczne, Powieści obyczajowe, Sagi rodzinne",Audiobook,Polski,2023-01-30,Nie dotyczy,M,powieści
Gdzie moje love story,Agnieszka Lingas-Łoniewska,Ewa Abart,4.6,95.0,4.6,94.0,5.75,"Powieści, Romans",Audiobook,Polski,2022-11-12,Nie dotyczy,F,powieści
Nauczycielka z getta,Aneta Krasińska,Agata Skórska,4.4,94.0,4.5,94.0,8.0,"Romans, Romans sensacyjny",Audiobook,Polski,2022-04-11,Nie dotyczy,F,romans
Medicus,Noah Gordon,Filip Kosior,4.8,954.0,4.9,936.0,23.15,"Powieści, Powieści historyczne",Audiobook,Polski,2020-09-01,Tom 1 - Medicus,M,powieści
Virion. Zamek,Andrzej Ziemiański,Grzegorz Pawlak,4.8,976.0,4.9,931.0,14.53,Fantastyka,Audiobook,Polski,2021-02-17,Tom 1 - Szermierz natchniony,M,fantastyka
Święte Zło,Tomasz Wandzel,Filip Kosior,4.6,955.0,4.9,930.0,6.4,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Powieści detektywistyczne",Audiobook,Polski,2022-10-10,Tom 2 - Róża Wielopolska,M,kryminały
"Dyktatorzy mody. Wzloty, upadki, skandale",Iwona Kienzler,Elżbieta Kijowska,4.6,93.0,4.6,93.0,12.47,"Biografie, Biografie artystów",Audiobook,Polski,2023-04-05,Nie dotyczy,F,biografie
Kurt Cobain,Lucas Hugo Pavetto,Masza Bogucka,3.8,122.0,4.0,93.0,56.0,"Biografie, Biografie artystów, Literatura faktu, Muzyka i filmy",Audiobook,Polski,2021-12-20,Nie dotyczy,F,biografie
Ostatni taki szczyt,Mick Conefrey,Maciej Więckowski,4.5,97.0,4.7,93.0,9.37,"Biografie, Biografie polityczne i społeczne, Literatura faktu, Podróże, Sport",Audiobook,Polski,2021-06-19,Nie dotyczy,M,biografie
Prostytucja. Niezwykła historia. Część IV. Era chrześcijańska: narodziny celibatu i nadużycia kleru,Józef Lubecki,Filip Kosior,4.5,95.0,4.8,93.0,1.28,"Biografie, Literatura faktu, Społeczeństwo i kultura, Historia, Religia i filozofia",Audiobook,Polski,2024-09-20,Tom 4 - Prostytucja. Niezwykła historia,M,biografie
Europa,Jan Grabowski,Karol Kunysz,4.7,96.0,4.7,93.0,50.0,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2022-11-22,Nie dotyczy,M,dla dzieci
Sceny z życia smoków,Beata Krupska,Janusz Zadura,4.7,96.0,4.6,93.0,1.85,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2021-11-30,Tom 3 - Beata Krupska dzieciom,M,dla dzieci
Klasyka dla dzieci. Sherlock Holmes. Tom 28. Człowiek na czworakach,Arthur Doyle,Więckowski,4.8,98.0,4.8,93.0,53.0,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2022-11-30,Nie dotyczy,U,dla dzieci
Elf i dom strachów,Marcin Pałasz,Leszek Filipowicz,4.9,96.0,4.9,93.0,4.45,"Dla dzieci, Dla dzieci w wieku 9+, Książki o zwierzętach i naturze dla dzieci",Audiobook,Polski,2023-07-31,To lubię!,M,dla dzieci
Papierowe miasta,John Green,Maciej Kowalik,3.8,102.0,4.5,93.0,8.88,Dla młodzieży,Audiobook,Polski,2021-05-01,Nie dotyczy,M,dla młodzieży
Cesarstwo piasku,Natasha Suri,Ewa Abart,3.8,104.0,4.0,93.0,15.62,Fantastyka,Audiobook,Polski,2022-06-09,Kroniki Amhy,F,fantastyka
Postać,Christina Larsson,Anna Szawiel,4.6,105.0,4.6,93.0,9.62,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-06-28,Tom 4 - Ingrid Bergman,F,kryminały
Śmiertelna rozpacz,T.R. Ragan,Ilona Chojnowska,4.7,94.0,4.7,93.0,7.18,"Kryminały, Thrillery, Thrillery psychologiczne",Audiobook,Polski,2022-01-26,Tom 2 - Faith McMann,F,kryminały
Bez litości,Michał Larek,Filip Kosior,4.6,92.0,4.9,93.0,7.05,"Powieści, Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2024-11-25,Tom 2 - Komisarz Dalberg,M,powieści
Cierpkie owoce,Kazimierz Kiljan,Agnieszka Postrzygacz,4.4,95.0,4.6,93.0,7.77,"Powieści, Powieści obyczajowe, Powieści współczesne, Romans",Audiobook,Polski,2021-08-26,Nie dotyczy,F,powieści
Wieczna wiosna,Katarzyna Zyskowska,Monika Piasecka,4.8,98.0,4.7,93.0,10.53,"Powieści, Romans",Audiobook,Polski,2024-09-04,Nie dotyczy,F,powieści
Po kruchym lodzie,Josephine Lys,Katarzyna Domalewska,4.3,116.0,4.7,93.0,4.38,Romans,Audiobook,Polski,2024-03-01,Tom 1 - Szkockie serce,F,romans
Wytrzymałość psychiczna,Chris McNab,Maciej Więckowski,4.2,93.0,4.6,93.0,6.33,"Rozwój osobisty, Mindfulness i duchowość",Audiobook,Polski,2022-03-22,Nie dotyczy,M,rozwój osobisty
Norweski dziennik. Obce ścieżki,Andrzej Pilipiuk,Maciej Więckowski,4.6,92.0,4.4,93.0,11.63,brak,Audiobook,,2021-04-01,Tom 2 - Norweski dziennik,M,brak
Na tropie wandali,Agnieszka Pruska,Leszek Wojtaszak,4.7,95.0,4.7,93.0,7.45,brak,"Audiobook, E-book",,2023-05-08,Tom 1 - Młodzieżowa Agencja Detektywistyczna,M,brak
Morderstwo w Boże Narodzenie,Agatha Christie,Krzysztof Gosztyła,4.5,936.0,4.7,929.0,7.68,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Klasyka",Audiobook,Polski,2023-03-10,Herkules Poirot,M,kryminały
Otchłań. Księga 2,Peter V. Brett,Filip Kosior,4.8,962.0,4.9,926.0,14.22,Fantastyka,Audiobook,Polski,2018-05-09,Tom 11 - Trylogia demonów,M,fantastyka
Wiedźmin. Czas Pogardy,Andrzej Sapkowski,zespół lektorów,4.9,9468.0,5.0,9245.0,13.52,Fantastyka,Audiobook,Polski,2021-11-04,Tom 5 - Wiedźmin,G,fantastyka
Virion. Pustynia,Andrzej Ziemiański,Grzegorz Pawlak,4.8,952.0,4.9,924.0,14.33,Fantastyka,Audiobook,Polski,2022-03-04,Tom 2 - Szermierz natchniony,M,fantastyka
Rodzinny interes,Wojciech Chmielarz,Przemysław Bluszcz,4.6,925.0,4.7,924.0,13.57,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2024-10-23,Tom 4 - Bezimienny,M,kryminały
Virion. Obława,Andrzej Ziemiański,Grzegorz Pawlak,4.8,954.0,4.9,921.0,15.13,Fantastyka,Audiobook,Polski,2018-09-19,Tom 2 - Imperium Achai,M,fantastyka
Cios za cios,Agnieszka Peszek,Filip Kosior,4.5,949.0,4.9,921.0,8.58,"Powieści, Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-12-04,Tom 1 - Dagmara Zatorska,M,powieści
Piękny Jan,Lars Kjaedegaard,Mikołaj Krawczyk,4.4,100.0,4.6,92.0,11.83,"Kryminały, Powieści kryminalne",Audiobook,Polski,2022-04-25,Tom 3 - Anita Hvid i Thor Belling,M,kryminały
Afgański łącznik,Jarosław Granat,Mateusz Drozda,4.6,93.0,4.8,92.0,6.15,"Kryminały, Thrillery",Audiobook,Polski,2023-06-21,Nie dotyczy,M,kryminały
Trzecia szansa,Wojciech Wójcik,Dragun,4.5,92.0,4.6,92.0,21.75,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-09-28,Nie dotyczy,M,kryminały
Wyleczeni,Alicja Horn,Ilona Chojnowska,4.4,94.0,4.6,92.0,6.43,"Kryminały, Thrillery, Thrillery psychologiczne",Audiobook,Polski,2021-12-07,Nie dotyczy,F,kryminały
Grupa Wagnera i inne prywatne armie świata,Artur Górski,Mateusz Drozda,4.6,94.0,4.8,92.0,5.43,"Literatura faktu, Historia",Audiobook,Polski,2023-09-27,Nie dotyczy,M,literatura faktu
Czarcia dolina,Halina Kowalczuk,Donata Cieślik,4.5,94.0,4.4,92.0,10.85,Powieści,Audiobook,Polski,2021-05-04,Nie dotyczy,F,powieści
